SMILES,Name,MolWeight
CC(C)(C)N1C(=O)N2CN(CCO)CN3C(=O)NC1C32,,283.16
Nc1c2c(nc3sc4c(c13)CCCCC4)CCCC2,,272.13
CC(NC(=O)C1C2C=CC(C2)C1C(=O)O)C1CC2CCC1C2,,303.18
COc1ccc(-c2cnoc2-c2cc(OC)c3c(c2)OCO3)cc1,,325.1
CC(C)(C)c1nnc2sc(SCc3ccc(Cl)c(Cl)c3)nn2c1=O,,400.0
Cc1ccc(-c2cc3c4c(C)n(C)c(C)c4c(C)nn3c2)o1,,293.15
Nc1nnc(SCC(=O)Nc2nncs2)s1,,273.98
C1CCN(C2C3CC4CC2CC(C3)C4N2CCCC2)C1,,274.24
CCCCC12CN3CC(C)(CN(C1)C3(C)C)C2=O,,250.2
O=S1(=O)CCCCN1c1ccc(S(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)cc1,,453.12
CN(C)CCNc1ncnc2[nH]cc(Br)c12,,283.04
FC(F)Cn1cc(Cl)c(I)n1,,291.91
O=C(O)C1C2C=CC3(O2)C1C(=O)N1CCCOC13,,251.08
CC[n+]1c(/C=C2\C=C(C)CC(C)(C)C2)oc2ccccc21,,282.19
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,,253.11
Cn1c2c(c(=O)n(C)c1=O)CN(CCN1CCNCC1)CN2,,308.2
Cc1nn(C(C)C)c(C)c1-c1nn2c(-c3cccs3)nnc2s1,,344.09
O=c1n(Cc2ccc(F)cc2)nc2c(S(=O)(=O)N3CCN(c4ccc(F)cc4)CC3)cccn12,,485.13
c1nc2nonc2nc1C12CC3CC(CC(C3)C1)C2,,256.13
COC(=O)CSc1sc(=O)sc1SC,,267.94
O=S1(=O)c2cccc3cccc(c23)N1CCN1c2cccc3cccc(c23)S1(=O)=O,,436.06
Cc1ncn(C(C)C)c1I,,250.0
O=C(CCSCCC(=O)NC1CCCC1)NC1CCCC1,,312.19
CS(=O)(=O)N1CCC(OC2CCN(S(=O)(=O)c3ccc(Cl)s3)CC2)CC1,,442.05
CC(C)[N+](C)(C)CC#CC(O)(c1ccccc1)c1ccccc1,,308.2
CC1(C)CC(N2C(=O)OC3(CC(C)(C)NC(C)(C)C3)C2(C)O)CC(C)(C)N1,,381.3
c1ccc2/c(=N/c3ccc4c(c3)OCO4)cc(-c3ccc4c(c3)OCO4)oc2c1,,385.1
Cc1n[nH]c([C@@H]2CN(S(=O)(=O)N3CCOCC3)C[C@H]2CF)n1,,333.13
O=C(c1cnc2sc(N3CCCCCC3)nn2c1=O)N1CCC2(CC1)OCCO2,,419.16
Cn1cc(CN(Cc2cnn(C)c2)S(=O)(=O)c2cnn(C)c2)cn1,,349.13
O=C1CC(c2cc(F)ccc2F)c2cc3c(cc2N1)OCCO3,,317.09
CSc1ncn(-c2nc(N(C)C)nc(N(C)C)n2)n1,,280.12
COCCN[C@H]1CS(=O)(=O)C[C@@H]1S(=O)(=O)c1cccs1,,339.03
O=C1C2C3C=CC(C3)C2C(=O)N1CN1CCN(CN2C(=O)C3C4C=CC(C4)C3C2=O)CC1,,436.21
CCOC(=O)C1=NOC(C)([C@H]2CC=C(C)CC2)C1,,251.15
COc1cc(OC)c(/C=N/N=C/c2cc(Br)c(OC)cc2OC)cc1Br,,483.96
Clc1nss/c1=N\c1ccccc1/N=c1/ssnc1Cl,,377.87
CC(C)C12CN3CC(C(C)C)(CN(C1)C3C(O)C(O)C(O)C(O)CO)C2=O,,386.24
Cn1c(=O)c2c(nc3oc(-c4ccco4)cn32)n(C)c1=O,,286.07
O=C1CCC[C@@H]2CN(C3CCCCCC3)C[C@@H]2N1,,250.2
O=C1c2ccccc2C2c3ccccc3Sc3cccc1c32,,300.06
c1sc(N2CCNCC2)nc1CN1CCOCC1,,268.14
C=CCn1c(C23CC4CC(CC(C4)C2)C3)n[nH]c1=S,,275.15
CC(=O)NC1=NN(C(C)=O)C2(S1)C(=O)N(C(C)=O)c1ccc(F)cc12,,364.06
CCCCCC1CCC(C2CCC(O)CC2)CC1,,252.25
c1ccc(Sc2nc(-c3ccccc3)nc3c2oc2ccccc23)cc1,,354.08
Cc1onc(C(=O)O)c1I,,252.92
O=S(=O)(c1ccc(Cl)s1)N1CCOCC1,,266.98
CSc1nnc2c(n1)OC(c1cc3c(cc1Br)OCO3)Nc1ccccc1-2,,443.99
