SMILES,Name,MolWeight
Cc1cc(C)cc(/N=c2\ssc3c2-c2cc(C)c(C)cc2NC3(C)C)c1,3807-5709,380.14
O=c1[nH]c(=S)[nH]c(O)c1Cc1c(O)[nH]c(=S)[nH]c1=O,8011-9767,300.0
Clc1ncn(C23CC4CC(CC(c5nnc(C67CC8CC(CC(C8)C6)C7)o5)(C4)C2)C3)n1,Y502-6985,439.21
C(=N/Nc1ccc2ccccc2n1)\c1ccc2ccccc2n1,0422-0112,298.12
CN(C)C(=O)C1CN(C(=O)NC2CCCC2)CC12CCCC2,J500-0823,307.23
CC12CN3CC(C)(CN(C1)C3C(O)C(O)C(O)C(O)CO)C2=O,6930-0200,330.18
COCc1nnn2c1COC1(CCN(S(=O)(=O)c3c(C)noc3C)CC1)C2,SC40-0144,397.14
CC1=Nn2c(nnc2C(F)F)S/C1=C\c1cccs1,Y501-9725,298.02
Ic1ccc2[nH]c3ccc(I)cc3c2c1,1988-0092,418.87
CSc1ccc(/C=N/N(C)CCN(C)/N=C/c2ccc(SC)cc2)cc1,Y510-6391,386.16
C1=CCC(CN2CCN(C3CC4CCC3C4)CC2)CC1,Y511-5519,274.24
Cn1cc(-c2n[nH]c(-c3cnn(C)c3)c2Cl)cn1,Y507-4832,262.07
CN1C(=O)c2ccccc2N2C(=O)c3ccccc3C12,Y044-7009,264.09
Cc1sc(C)c(CNCC(C)C)c1CNCC(C)C,8020-1934,282.21
O=S(=O)(Nc1ccc2c(c1)OCCO2)c1ccc(N2CCCCS2(=O)=O)cc1,G508-0067,424.08
O=C(c1cnc2sc(N3CCCCC3)nn2c1=O)N1CCC2(CC1)OCCO2,G205-0029,405.15
N#Cc1c(SCC(N)=O)nsc1SCC(N)=O,8006-4757,287.98
CCOc1cccc(OCC)c2c(C)[n+](-c3ccc(C)cc3)c(C)c1-2,7584-0025,336.2
CC(C)=CCC/C(C)=C/CCC1(C)OC(=O)N(C2CC(C)(C)NC(C)(C)C2)C1(C)O,8010-9391,420.34
O=C(O)CCC(C(=O)O)N1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,5782-3165,412.9
c1cc2c(cc1-c1ccc(SCc3nc(-c4ccc5c(c4)OCO5)no3)nn1)OCO2,F840-0159,434.07
CCN(CC)C1(c2nnnn2C2CCCC2)CCNC1,SA21-1084,278.22
Cn1cnc(S(=O)(=O)N2CCC(OC3CCN(S(C)(=O)=O)CC3)CC2)c1,S330-5261,406.13
C1CCCC(Nc2nc3nonc3nc2NC2CCCCCC2)CC1,8019-4733,344.23
O=C(CC1(O)C(=O)Nc2ccccc21)CC1(O)C(=O)Nc2ccccc21,3527-0007,352.11
O=S1(=O)C[C@H](NC2CCCC2)[C@@H](S(=O)(=O)c2cccs2)C1,D470-1629,349.05
Nn1c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)nnc1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,8016-0823,582.29
Nc1nc(SCCCSc2n[nH]c(N)n2)n[nH]1,Y021-3028,272.06
O=P1(c2ccccc2O)COc2ccccc2OC1,8018-7923,276.06
CN1CCN(CC2(O)CCC3(CCN(S(=O)(=O)N(C)C)CC3)CC2)CC1,S567-0399,388.25
O=S(=O)(c1ccc(F)s1)N1CCOCC1,Y505-3327,251.01
COCCN1[C@@H]2CCCC[C@@]2(C(=O)N(C)C)CCS1(=O)=O,S762-0314,318.16
CC1Cn2c(nc(=O)c3c2NCN(C(C)C)C3)S1,8017-7638,266.12
NCCCCCCNC12CC3CC(CC(C3)C1)C2,8012-5840,250.24
c1ccc(COC2C3COC(O3)C(OCc3ccccc3)C2OCc2ccccc2)cc1,8009-8665,432.19
Cc1nn(CCc2nnc(-c3nn(C)cc3Br)o2)c(C)c1Br,Y502-0625,427.96
CC1(C(=O)O)CCC(C(=O)N2CCCC2)C1(C)C,8017-0152,253.17
[O-][n+]1c2c(nn1-c1ccc(Cl)c(Cl)c1)-c1nonc1CC2,3473-3517,323.0
C[C@]12CCC(OC3CCCCO3)CC1CCC1C2CC[C@]2(C)C(O)CCC12,3647-1630,376.3
OC1=C2C(=Nc3ccccc3SC2c2cccc(Oc3ccccc3)c2)c2ccccc21,C472-0143,433.11
Cn1ccnc1CN1CCN(Cc2nccn2C)CC1,8013-0912,274.19
CCC1Sc2sc(=S)sc2SC(CC)C1=O,8009-5122,307.95
Brc1ccc(-c2ccc(Br)cc2)cc1,0054-0025,309.9
Cc1ccc(/C=N/c2sc3c(c2C#N)CCC3)s1,8008-5280,272.04
O=S1(=O)CCN(CC2CCCO2)c2c(OCC3CCCO3)nc(F)c(Cl)c21,8610-0012,420.09
CC(C)(C)N1C(=O)N2CN(CCO)CN3C(=O)NC1C32,8018-1597,283.16
Nc1c2c(nc3sc4c(c13)CCCCC4)CCCC2,Y512-0903,272.13
